AOI,fvfm,Substrate,Temp,Ramp_rate,Species
1,0.576,Dry,Hot,30,Melaleuca citrina
2,0.684,Dry,Hot,30,Melaleuca citrina
3,0.766,Dry,Hot,30,Melaleuca citrina
4,0.62,Dry,Hot,30,Melaleuca citrina
5,0.725,Dry,Hot,30,Melaleuca citrina
6,0.683,Dry,Hot,30,Melaleuca citrina
7,0.691,Dry,Hot,30,Melaleuca citrina
8,0.696,Dry,Hot,30,Melaleuca citrina
9,0.563,Dry,Hot,30,Escallonia rubra
10,0.733,Dry,Hot,30,Escallonia rubra
11,0.724,Dry,Hot,30,Escallonia rubra
12,0.705,Dry,Hot,30,Escallonia rubra
13,0.708,Dry,Hot,30,Escallonia rubra
14,0.684,Dry,Hot,30,Escallonia rubra
15,0.762,Dry,Hot,30,Escallonia rubra
16,0.747,Dry,Hot,30,Wahlenbergia ceracea
17,0.765,Dry,Hot,30,Wahlenbergia ceracea
18,0.766,Dry,Hot,30,Wahlenbergia ceracea
19,0.762,Dry,Hot,30,Wahlenbergia ceracea
20,0.749,Dry,Hot,30,Wahlenbergia ceracea
21,0.786,Dry,Hot,30,Wahlenbergia ceracea
22,0.767,Dry,Hot,30,Wahlenbergia ceracea
23,0.79,Dry,Hot,30,Wahlenbergia ceracea
24,0.761,Dry,Hot,30,Wahlenbergia ceracea
