Tctime,Temp1,Temp2,Tempmean
12:27:50,20.1,20,20.05
12:28:00,20.1,19.9,20
12:28:10,20.1,20,20.05
12:28:20,20.1,20,20.05
12:28:30,20.1,19.9,20
12:28:40,20.1,19.9,20
12:28:50,20.2,20.1,20.15
12:29:00,20.1,20,20.05
12:29:10,20.2,20.2,20.2
12:29:20,20.2,20.2,20.2
12:29:30,20.1,20,20.05
12:29:40,20.1,20.1,20.1
12:29:50,20.1,20,20.05
12:30:00,20.2,20.1,20.15
12:30:10,20.2,20.1,20.15
12:30:20,20.2,20.1,20.15
12:30:30,20.1,20.1,20.1
12:30:40,20.2,20.1,20.15
12:30:50,20.2,20.3,20.25
12:31:00,20.2,20.2,20.2
12:31:10,20.2,20.2,20.2
12:31:20,20.2,20,20.1
12:31:30,20.2,20.2,20.2
12:31:40,20.1,20.1,20.1
12:31:50,20.2,20.2,20.2
12:32:00,20.2,20.2,20.2
12:32:10,20.2,20.4,20.3
12:32:20,20.2,20.4,20.3
12:32:30,20.2,20.4,20.3
12:32:40,20.2,20.4,20.3
12:32:50,20.2,20.1,20.15
12:33:00,20.2,20.2,20.2
12:33:10,20.2,20,20.1
12:33:20,20.2,20.1,20.15
12:33:30,20.2,20,20.1
12:33:40,20.3,20.3,20.3
12:33:50,20.3,20.4,20.35
12:34:00,20.3,20.5,20.4
12:34:10,20.4,21.1,20.75
12:34:20,20.4,23.8,22.1
12:34:30,20.6,22.9,21.75
12:34:40,21.2,22.3,21.75
12:34:50,21.1,21.9,21.5
12:35:00,25.9,21.6,23.75
12:35:10,27.8,25.3,26.55
12:35:20,27.5,25.8,26.65
12:35:30,26.8,24.9,25.85
12:35:40,26.4,25,25.7
12:35:50,26.7,25.4,26.05
12:36:00,27,25.7,26.35
12:36:10,27.3,26.1,26.7
12:36:20,27.5,26.4,26.95
12:36:30,27.6,26.7,27.15
12:36:40,27.7,26.9,27.3
12:36:50,27.5,26.9,27.2
12:37:00,27.5,27,27.25
12:37:10,27.5,27,27.25
12:37:20,27.8,27.2,27.5
12:37:30,28,27.4,27.7
12:37:40,28.2,27.7,27.95
12:37:50,28.3,27.9,28.1
12:38:00,28.4,28,28.2
12:38:10,28.3,28,28.15
12:38:20,28.3,28,28.15
12:38:30,28.2,28,28.1
12:38:40,28.3,28.1,28.2
12:38:50,28.4,28.1,28.25
12:39:00,28.6,28.3,28.45
12:39:10,28.7,28.4,28.55
12:39:20,28.8,28.5,28.65
12:39:30,28.9,28.6,28.75
12:39:40,28.8,28.6,28.7
12:39:50,28.8,28.6,28.7
12:40:00,28.7,28.6,28.65
12:40:10,28.8,28.6,28.7
12:40:20,28.9,28.7,28.8
12:40:30,29,28.8,28.9
12:40:40,29.1,28.9,29
12:40:50,29.1,28.9,29
12:41:00,29.1,28.9,29
12:41:10,29,29,29
12:41:20,29.1,29,29.05
12:41:30,29.1,29,29.05
12:41:40,29.1,29,29.05
12:41:50,29.1,29,29.05
12:42:00,29.2,29.1,29.15
12:42:10,29.3,29.1,29.2
12:42:20,29.3,29.2,29.25
12:42:30,29.3,29.2,29.25
12:42:40,29.2,29.2,29.2
12:42:50,29.2,29.2,29.2
12:43:00,29.2,29.1,29.15
12:43:10,29.2,29.1,29.15
12:43:20,29.3,29.2,29.25
12:43:30,29.3,29.2,29.25
12:43:40,29.4,29.2,29.3
12:43:50,29.4,29.3,29.35
12:44:00,29.3,29.3,29.3
12:44:10,29.3,29.2,29.25
12:44:20,29.4,29.3,29.35
12:44:30,29.4,29.3,29.35
12:44:40,29.4,29.3,29.35
12:44:50,29.4,29.3,29.35
12:45:00,29.4,29.3,29.35
12:45:10,29.5,29.3,29.4
12:45:20,29.5,29.3,29.4
12:45:30,29.5,29.3,29.4
12:45:40,29.4,29.3,29.35
12:45:50,29.4,29.3,29.35
12:46:00,29.4,29.3,29.35
12:46:10,29.5,29.3,29.4
12:46:20,29.5,29.4,29.45
12:46:30,29.6,29.5,29.55
12:46:40,29.6,29.5,29.55
12:46:50,29.6,29.4,29.5
12:47:00,29.6,29.5,29.55
12:47:10,29.6,29.5,29.55
12:47:20,29.6,29.4,29.5
12:47:30,29.6,29.4,29.5
12:47:40,29.6,29.4,29.5
12:47:50,29.6,29.5,29.55
12:48:00,29.6,29.4,29.5
12:48:10,29.6,29.5,29.55
12:48:20,29.6,29.5,29.55
12:48:30,29.6,29.5,29.55
12:48:40,29.6,29.4,29.5
12:48:50,29.6,29.5,29.55
12:49:00,29.6,29.5,29.55
12:49:10,29.6,29.5,29.55
12:49:20,29.6,29.5,29.55
12:49:30,29.6,29.5,29.55
12:49:40,29.6,29.5,29.55
12:49:50,29.6,29.5,29.55
12:50:00,29.6,29.5,29.55
12:50:10,29.6,29.5,29.55
12:50:20,29.6,29.5,29.55
12:50:30,29.6,29.5,29.55
12:50:40,29.6,29.5,29.55
12:50:50,29.6,29.5,29.55
12:51:00,29.6,29.5,29.55
12:51:10,29.6,29.5,29.55
12:51:20,29.6,29.5,29.55
12:51:30,29.7,29.5,29.6
12:51:40,29.6,29.5,29.55
12:51:50,29.6,29.5,29.55
12:52:00,29.6,29.5,29.55
12:52:10,29.6,29.5,29.55
12:52:20,29.7,29.5,29.6
12:52:30,29.6,29.5,29.55
12:52:40,29.7,29.5,29.6
12:52:50,29.7,29.6,29.65
12:53:00,29.7,29.5,29.6
12:53:10,29.6,29.5,29.55
12:53:20,29.6,29.5,29.55
12:53:30,29.6,29.5,29.55
12:53:40,29.6,29.5,29.55
12:53:50,29.6,29.5,29.55
12:54:00,29.6,29.5,29.55
12:54:10,29.7,29.5,29.6
12:54:20,29.6,29.5,29.55
12:54:30,29.7,29.6,29.65
12:54:40,29.6,29.5,29.55
12:54:50,29.6,29.5,29.55
12:55:00,29.7,29.6,29.65
12:55:10,29.7,29.6,29.65
12:55:20,29.7,29.6,29.65
12:55:30,29.7,29.6,29.65
12:55:40,29.7,29.6,29.65
12:55:50,29.7,29.6,29.65
12:56:00,29.7,29.6,29.65
12:56:10,29.7,29.6,29.65
12:56:20,29.7,29.6,29.65
12:56:30,29.7,29.6,29.65
12:56:40,29.7,29.6,29.65
12:56:50,29.7,29.6,29.65
12:57:00,29.7,29.6,29.65
12:57:10,29.7,29.6,29.65
12:57:20,29.7,29.6,29.65
12:57:30,29.7,29.7,29.7
12:57:40,29.7,29.6,29.65
12:57:50,29.7,29.6,29.65
12:58:00,29.9,29.7,29.8
12:58:10,29.9,29.7,29.8
12:58:20,30.1,29.9,30
12:58:30,30.2,30,30.1
12:58:40,30.2,30,30.1
12:58:50,30.3,30.2,30.25
